weight_true,max_stress_true,max_disp_true,weight_mean,weight_std,max_stress_mean,max_stress_std,max_disp_mean,max_disp_std
6164.9004,48724.23,5.01167,6211.5137,144.9671,49084.047,3704.015,5.074914,0.27564812
6570.409,28762.686,3.2435002,6566.66,114.33551,30406.94,3797.3086,3.4031537,0.2357008
6561.477,15050.608,2.3883278,6591.9863,123.79425,14306.238,1273.6088,2.456243,0.09633463
6981.683,103276.055,11.753422,6922.9443,172.93694,97963.02,15251.014,11.756722,1.7889378
7256.8853,33920.26,3.2384322,7249.706,82.32238,22192.99,2453.213,2.9516091,0.1386958
4945.017,41397.07,5.552142,4979.8037,261.5243,39264.46,4256.764,5.2485366,0.3394539
6262.071,24214.459,3.2035496,6232.933,103.933556,25567.61,2079.917,3.2954638,0.16116549
8443.946,12517.706,2.0263977,8434.285,156.76465,12201.156,1056.586,2.1125162,0.09404956
9587.068,10910.054,1.900239,9498.749,317.64777,11184.45,1203.098,1.9627442,0.11342127
8357.904,21860.203,2.9913633,8356.07,132.84117,20308.623,1398.0615,2.8106894,0.11922402
9451.667,13346.064,1.8846092,9374.361,282.47757,13586.445,1287.7242,1.9364809,0.11681398
7139.5303,28130.799,3.569027,7140.248,85.11156,28757.65,2015.9731,3.6050456,0.14370123
5924.178,53302.383,5.84091,5971.11,145.34834,45131.26,6866.3267,5.755354,0.6404213
8034.8906,22546.365,2.8262272,8080.2295,107.03836,23192.17,1686.8236,2.8186405,0.13199687
4724.451,47387.656,4.8482647,4721.0195,245.19156,39777.17,6836.6367,4.713148,0.42543834
8228.115,14983.718,2.2403665,8263.14,129.5206,14898.858,1096.247,2.3309214,0.08640636
8240.231,27026.844,2.7607565,8245.383,125.07111,26815.143,1934.4894,2.9241645,0.09881493
7009.561,77417.23,7.435731,6973.0557,138.12042,66839.06,8467.536,7.1112576,0.72787964
8750.28,17805.215,2.3724174,8767.542,210.75714,16986.113,1211.007,2.4203496,0.093369275
7344.1094,34542.492,3.387111,7373.6343,103.79265,34109.49,1996.7916,3.5675428,0.12840824
8591.457,42741.94,3.4325643,8483.004,193.63043,39324.29,3937.3057,3.6006887,0.20826776
6133.835,10400.488,2.3639102,6248.826,119.965706,13778.81,1096.3972,2.5320938,0.11151587
6738.763,14975.246,3.0168958,6748.799,89.38688,15512.088,1352.3506,2.915402,0.12430144
7106.2876,33559.81,3.664153,7067.277,83.793045,31138.502,2733.8188,3.4362447,0.20783322
